fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
0.24778761061946908,0.39726027397260266,0.0,0.06849315068493149,0.1068447412353923,0.14084507042253522,0.09893992932862192,0.5675477239353915,0.606299212598425,0.13772455089820362,0.15384615384615385,5,red
0.2831858407079646,0.5205479452054794,0.0,0.11643835616438356,0.1435726210350584,0.3380281690140845,0.21554770318021202,0.4941262848751858,0.36220472440944895,0.20958083832335334,0.21538461538461545,5,red
0.2831858407079646,0.4383561643835616,0.04000000000000001,0.09589041095890408,0.13355592654424037,0.1971830985915493,0.1696113074204947,0.5088105726872253,0.4094488188976376,0.1916167664670659,0.21538461538461545,5,red
0.584070796460177,0.1095890410958904,0.56,0.06849315068493149,0.1051752921535893,0.22535211267605634,0.19081272084805656,0.5822320117474311,0.3307086614173229,0.1497005988023952,0.21538461538461545,6,red
0.24778761061946908,0.3698630136986301,0.0,0.061643835616438346,0.1051752921535893,0.16901408450704225,0.12014134275618375,0.5675477239353915,0.606299212598425,0.13772455089820362,0.15384615384615385,5,red
0.29203539823008856,0.3287671232876712,0.05999999999999997,0.047945205479452045,0.09515859766277128,0.1971830985915493,0.1872791519434629,0.46475770925109855,0.4409448818897636,0.07784431137724553,0.15384615384615385,5,red
0.23893805309734514,0.363013698630137,0.0,0.020547945205479437,0.08848080133555926,0.1971830985915493,0.05300353356890461,0.3325991189427346,0.5118110236220473,0.08383233532934131,0.2461538461538461,7,red
0.2831858407079646,0.31506849315068486,0.01999999999999999,0.07534246575342464,0.10183639398998329,0.11267605633802817,0.042402826855123685,0.4941262848751858,0.48818897637795267,0.14371257485029937,0.16923076923076918,7,red
0.25663716814159293,0.2602739726027397,0.36,0.3561643835616437,0.09849749582637726,0.22535211267605634,0.3392226148409894,0.5675477239353915,0.48031496062992135,0.28143712574850305,0.32307692307692304,5,red
0.18584070796460184,0.31506849315068486,0.08000000000000002,0.061643835616438346,0.1419031719532554,0.1971830985915493,0.20848056537102477,0.4280469897209997,0.42519685039370064,0.125748502994012,0.12307692307692292,5,red
